16	15949042	16143153	ABCC1	ABCC1
20	25294642	25390935	ABHD12	ABHD12
17	81509870	81512899	ACTG1	ACTG1
7	45574039	45723216	ADCY1	ADCY1
5	90558696	91164537	ADGRV1	ADGRV1
X	130129261	130165941	AIFM1	AIFM1
2	73385657	73610019	ALMS1	ALMS1
17	68259069	68452119	ARSG	ARSG
19	41966481	41994330	ATP1A3	ATP1A3
3	10323922	10708107	ATP2B2	ATP2B2
2	70935799	70965531	ATP6V1B1	ATP6V1B1
8	20197280	20221796	ATP6V1B2	ATP6V1B2
2	218658642	218663543	BCS1L	BCS1L
5	71455550	71578388	BDP1	BDP1
1	54998832	55017272	BSND	BSND
3	15601251	15722616	BTD	BTD
11	67518811	67523546	CABP2	CABP2
3	53494510	53813833	CACNA1D	CACNA1D
3	191329293	191398759	CCDC50	CCDC50
6	109366413	109382567	CD164	CD164
1	100344900	100520377	CDC14A	CDC14A
10	71396819	71816047	CDH23	CDH23
19	44699050	44710818	CEACAM16	CEACAM16
15	80779269	80951871	CEMIP	CEMIP
8	60678639	60868128	CHD7	CHD7
15	78104505	78131635	CIB2	CIB2
4	102868891	102892907	CISD2	CISD2
21	36460520	36576669	CLDN14	CLDN14
16	3012822	3014605	CLDN9	CLDN9
6	45880726	46129919	CLIC5	CLIC5
19	6361430	6370342	CLPP	CLPP
3	150926062	150973099	CLRN1	CLRN1
4	17515064	17527204	CLRN2	CLRN2
14	30874458	30895715	COCH	COCH
1	102876372	103108622	COL11A1	COL11A1
6	33162593	33193237	COL11A2	COL11A2
17	50184000	50201731	COL1A1	COL1A1
7	94394794	94431327	COL1A2	COL1A2
12	47972866	48006312	COL2A1	COL2A1
2	227164564	227314791	COL4A3	COL4A3
2	226970292	227164558	COL4A4	COL4A4
X	108439737	108697645	COL4A5	COL4A5
X	108155513	108439558	COL4A6	COL4A6
6	70214960	70303184	COL9A1	COL9A1
1	40300388	40317386	COL9A2	COL9A2
20	62816112	62841259	COL9A3	COL9A3
16	21258420	21303162	CRYM	CRYM
6	24171654	24383392	DCDC2	DCDC2
12	122207561	122227556	DIABLO	DIABLO
5	141514920	141619100	DIAPH1	DIAPH1
13	59665482	60164028	DIAPH3	DIAPH3
15	51447690	51622871	DMXL2	DMXL2
19	10133245	10195053	DNMT1	DNMT1
4	87608428	87616973	DSPP	DSPP
20	59300510	59326092	EDN3	EDN3
13	77895380	77975627	EDNRB	EDNRB
2	85354668	85391848	ELMOD3	ELMOD3
12	15620033	15789488	EPS8	EPS8
11	706130	727827	EPS8L2	EPS8L2
17	28854915	28861161	ERAL1	ERAL1
1	6424675	6461470	ESPN	ESPN
8	94641073	94707566	ESRP1	ESRP1
14	76310676	76501937	ESRRB	ESRRB
8	71197332	71548194	EYA1	EYA1
6	133240492	133532228	EYA4	EYA4
11	69809867	69819516	FGF3	FGF3
8	38411042	38468735	FGFR1	FGFR1
10	121478229	121598558	FGFR2	FGFR2
4	1793192	1808967	FGFR3	FGFR3
5	170105796	170109837	FOXI1	FOXI1
4	143336775	143474665	GAB1	GAB1
11	22625901	22885795	GAS2	GAS2
10	8045232	8075298	GATA3	GATA3
19	3585377	3593641	GIPC3	GIPC3
6	121435545	121449827	GJA1	GJA1
13	20187369	20193038	GJB2	GJB2
1	34781113	34786464	GJB3	GJB3
13	20221861	20232419	GJB6	GJB6
1	108876884	108934645	GPSM2	GPSM2
17	19020555	19051473	GRAP	GRAP
18	21242131	21526212	GREB1L	GREB1L
8	101492338	101681300	GRHL2	GRHL2
4	42892612	43030758	GRXCR1	GRXCR1
5	145857569	145931773	GRXCR2	GRXCR2
7	24698254	24795639	DFNA5	DFNA5
5	140673903	140691726	HARS	HARS
5	140691425	140699317	HARS2	HARS2
7	81698909	81770147	HGF	HGF
15	82834560	82986257	HOMER2	HOMER2
5	119452396	119542432	HSD17B4	HSD17B4
1	24154067	24187389	IFNLR1	IFNLR1
3	121987222	122061755	ILDR1	ILDR1
16	75627623	75647765	KARS	KARS
21	34446587	34512310	KCNE1	KCNE1
1	160037366	160070260	KCNJ10	KCNJ10
11	2444907	2849210	KCNQ1	KCNQ1
1	40783686	40840552	KCNQ4	KCNQ4
12	88492692	88580571	KITLG	KITLG
3	45388475	45549507	LARS2	LARS2
6	35805251	35824170	LHFPL5	LHFPL5
1	165201766	165356815	LMX1A	LMX1A
18	46476860	46657320	LOXHD1	LOXHD1
11	68298311	68449375	LRP5	LRP5
11	72080749	72110882	LRTOMT	LRTOMT
5	72107374	72209665	MAP1B	MAP1B
5	69415015	69444430	MARVELD2	MARVELD2
3	127598310	127622536	MCM2	MCM2
7	116672095	116798477	MET	MET
7	129774591	129774869	MIR96	MIR96
3	69739363	69968432	MITF	MITF
11	118253315	118264397	MPZL2	MPZL2
12	65278582	65467007	MSRB3	MSRB3
19	50203521	50310640	MYH14	MYH14
22	36281179	36388067	MYH9	MYH9
17	18108655	18179900	MYO15A	MYO15A
12	57028416	57051298	MYO1A	MYO1A
17	1464085	1492786	MYO1C	MYO1C
19	8520677	8577542	MYO1F	MYO1F
10	25934128	26212632	MYO3A	MYO3A
6	75749138	75919637	MYO6	MYO6
11	77128145	77215341	MYO7A	MYO7A
11	78435867	78574964	NARS2	NARS2
20	47501786	47656972	NCOA3	NCOA3
X	43948675	43973490	NDP	NDP
1	247415976	247448917	NLRP3	NLRP3
3	193593107	193697911	OPA1	OPA1
20	62238420	62296283	OSBPL2	OSBPL2
16	21663867	21760829	OTOA	OTOA
2	26457102	26558856	OTOF	OTOF
11	17547158	17646144	OTOG	OTOG
12	80099436	80380980	OTOGL	OTOGL
12	132618675	132622488	P2RX2	P2RX2
2	222199786	222299098	PAX3	PAX3
10	53802670	55628042	PCDH15	PCDH15
7	31616676	32428324	PDE1C	PDE1C
10	101007578	101031229	PDZD7	PDZD7
7	92486924	92528620	PEX1	PEX1
22	18077889	18105496	PEX26	PEX26
6	42963764	42979281	PEX6	PEX6
2	178451277	178462202	DFNB59	DFNB59
3	142596292	142713764	PLS1	PLS1
2	55633960	55693944	PNPT1	PNPT1
2	112541935	112579918	POLR1B	POLR1B
6	43516988	44461500	POLR1C	POLR1C
13	27620642	27667511	POLR1D	POLR1D
X	83508189	83512227	POU3F4	POU3F4
5	146338738	146341828	POU4F3	POU4F3
5	103120200	103212899	PPIP5K2	PPIP5K2
X	107628409	107651126	PRPS1	PRPS1
12	80444134	80680373	PTPRQ	PTPRQ
17	17681357	17811553	RAI1	RAI1
11	110174821	110296714	RDX	RDX
4	56907799	56935944	REST	REST
6	24804183	25042268	FAM65B	FAM65B
1	63773916	64181598	ROR1	ROR1
19	10221332	10231431	S1PR2	S1PR2
4	82629438	82798896	SCD5	SCD5
7	83363137	83649239	SEMA3E	SEMA3E
6	2948058	2971893	SERPINB6	SERPINB6
17	1761959	1777665	SERPINF1	SERPINF1
14	60643320	60649577	SIX1	SIX1
19	45764684	45769352	SIX5	SIX5
5	128083665	128189777	SLC12A2	SLC12A2
12	100356973	100422155	SLC17A8	SLC17A8
5	132294293	132344290	SLC22A4	SLC22A4
7	107660727	107717909	SLC26A4	SLC26A4
7	103352629	103446307	SLC26A5	SLC26A5
6	31863091	31879097	SLC44A4	SLC44A4
X	21705877	21758216	SMPX	SMPX
8	48917497	48921529	SNAI2	SNAI2
22	37972211	37984655	SOX10	SOX10
15	45402235	45421515	SPATA5L1	SPATA5L1
17	4498780	4539135	SPNS2	SPNS2
15	43599462	43618900	STRC	STRC
19	36003206	36008913	SYNE4	SYNE4
16	2475026	2505830	TBC1D24	TBC1D24
5	150357596	150400393	TCOF1	TCOF1
11	121101142	121191590	TECTA	TECTA
18	214419	268147	THOC1	THOC1
X	101345560	101348842	TIMM8A	TIMM8A
9	69121163	69255308	TJP2	TJP2
9	72521507	72838397	TMC1	TMC1
17	34579481	34639418	TMEM132E	TMEM132E
3	46693677	46710986	TMIE	TMIE
21	42371789	42396152	TMPRSS3	TMPRSS3
12	82686805	83134966	TMTC2	TMTC2
9	115019474	115118257	TNC	TNC
3	25597804	25665007	TOP2B	TOP2B
9	137191518	137200841	TPRN	TPRN
22	37696947	37776656	TRIOBP	TRIOBP
7	98878431	99013341	TRRAP	TRRAP
21	44497792	44711672	TSPEAR	TSPEAR
10	100987442	100994503	TWNK	TWNK
11	17493799	17544516	USH1C	USH1C
17	74915982	74923355	USH1G	USH1G
1	215622790	216423548	USH2A	USH2A
1	21678197	21783249	USP48	USP48
17	75845598	75856536	WBP2	WBP2
4	6269749	6303365	WFS1	WFS1
9	114401979	114505573	WHRN	WHRN
